lr: 0.0000031 | Train loss: 0.15030087530612946 | Validation loss: 0.22794657945632935 | Validation accuracy: 64.96286588029707 | QWKappa: 0.8693482485023472 | QWKappa Karolinska: 0.8836675635293896 | QWKappa Radboud: 0.8280782149738335
lr: 0.0000021 | Train loss: 0.14921119809150696 | Validation loss: 0.2305484414100647 | Validation accuracy: 64.52599388379205 | QWKappa: 0.8644204872694448 | QWKappa Karolinska: 0.8826142975274445 | QWKappa Radboud: 0.8181770598955092
lr: 0.0000014 | Train loss: 0.14748568832874298 | Validation loss: 0.23120610415935516 | Validation accuracy: 64.96286588029707 | QWKappa: 0.8691117808352198 | QWKappa Karolinska: 0.8856638461989932 | QWKappa Radboud: 0.8266511673810374
lr: 0.0000008 | Train loss: 0.1474725753068924 | Validation loss: 0.23183569312095642 | Validation accuracy: 65.4434250764526 | QWKappa: 0.8689511305135507 | QWKappa Karolinska: 0.8846774453989315 | QWKappa Radboud: 0.8262896693588347
lr: 0.0000004 | Train loss: 0.14773844182491302 | Validation loss: 0.23272167146205902 | Validation accuracy: 64.17649628658802 | QWKappa: 0.866110248820731 | QWKappa Karolinska: 0.8836190401766988 | QWKappa Radboud: 0.821023082884788
lr: 0.0000300 | Train loss: 0.46844443678855896 | Validation loss: 0.3649025559425354 | Validation accuracy: 37.48361730013106 | QWKappa: 0.6661450744129146 | QWKappa Karolinska: 0.6239122444023831 | QWKappa Radboud: 0.6097696261509447
lr: 0.0003000 | Train loss: 0.38978320360183716 | Validation loss: 0.31583625078201294 | Validation accuracy: 35.47400611620795 | QWKappa: 0.7390951111959703 | QWKappa Karolinska: 0.7278208171475524 | QWKappa Radboud: 0.6757337814020853
lr: 0.0000300 | Train loss: 0.28333884477615356 | Validation loss: 0.275059312582016 | Validation accuracy: 54.6526867627785 | QWKappa: 0.8075738019595939 | QWKappa Karolinska: 0.7823733609973129 | QWKappa Radboud: 0.7742772467132304
lr: 0.0000299 | Train loss: 0.26000070571899414 | Validation loss: 0.2640736997127533 | Validation accuracy: 54.78374836173001 | QWKappa: 0.8311754292249569 | QWKappa Karolinska: 0.82302375458269 | QWKappa Radboud: 0.7920346111137082
lr: 0.0000296 | Train loss: 0.24873657524585724 | Validation loss: 0.26880988478660583 | Validation accuracy: 57.01179554390564 | QWKappa: 0.8198918419374865 | QWKappa Karolinska: 0.8164740421323105 | QWKappa Radboud: 0.7737636751203356
lr: 0.0000292 | Train loss: 0.2422291487455368 | Validation loss: 0.283078134059906 | Validation accuracy: 59.72040192223679 | QWKappa: 0.8164251591136191 | QWKappa Karolinska: 0.7869223113557273 | QWKappa Radboud: 0.7904203380253757
lr: 0.0000286 | Train loss: 0.2295069396495819 | Validation loss: 0.25172263383865356 | Validation accuracy: 59.41459152468327 | QWKappa: 0.8455404172259863 | QWKappa Karolinska: 0.8436986029173194 | QWKappa Radboud: 0.8111628141339476
lr: 0.0000279 | Train loss: 0.22205768525600433 | Validation loss: 0.2447274625301361 | Validation accuracy: 60.15727391874181 | QWKappa: 0.8482446603886872 | QWKappa Karolinska: 0.8427594218571738 | QWKappa Radboud: 0.8149609678172525
lr: 0.0000269 | Train loss: 0.2172282189130783 | Validation loss: 0.2401101142168045 | Validation accuracy: 60.026212319790304 | QWKappa: 0.8518917541731527 | QWKappa Karolinska: 0.8489456421260162 | QWKappa Radboud: 0.8149821231608706
lr: 0.0000259 | Train loss: 0.20761291682720184 | Validation loss: 0.25388360023498535 | Validation accuracy: 61.59895150720839 | QWKappa: 0.8479743315410097 | QWKappa Karolinska: 0.8452812723764276 | QWKappa Radboud: 0.8133763693461814
lr: 0.0000247 | Train loss: 0.2029482126235962 | Validation loss: 0.25133079290390015 | Validation accuracy: 61.51157710790738 | QWKappa: 0.8401973674047435 | QWKappa Karolinska: 0.8475089421268788 | QWKappa Radboud: 0.7984435913904614
lr: 0.0000234 | Train loss: 0.1962464451789856 | Validation loss: 0.26193612813949585 | Validation accuracy: 63.652249890781995 | QWKappa: 0.8443606700885695 | QWKappa Karolinska: 0.8446137743492245 | QWKappa Radboud: 0.8080903552153472
lr: 0.0000220 | Train loss: 0.19131433963775635 | Validation loss: 0.24557700753211975 | Validation accuracy: 62.254259501965926 | QWKappa: 0.8442667177766152 | QWKappa Karolinska: 0.850897782534906 | QWKappa Radboud: 0.8031175525790878
lr: 0.0000206 | Train loss: 0.1875661164522171 | Validation loss: 0.25375476479530334 | Validation accuracy: 61.64263870685889 | QWKappa: 0.8445047950368403 | QWKappa Karolinska: 0.8473594060528655 | QWKappa Radboud: 0.8012842561866572
lr: 0.0000190 | Train loss: 0.1771911382675171 | Validation loss: 0.2513219714164734 | Validation accuracy: 63.12800349497597 | QWKappa: 0.8498799763984124 | QWKappa Karolinska: 0.8461227428669171 | QWKappa Radboud: 0.8190913902838921
